Iteration Per Action,Score,Chosen element number,Percentile
32,5788,32,100
32,416,32,100
32,4424,32,100
32,4664,32,100
32,5760,32,100
32,820,32,100
32,2192,32,100
32,1096,32,100
32,2744,32,100
32,2056,32,100
32,1148,32,100
32,2888,32,100
32,1232,32,100
32,808,32,100
32,3052,32,100
32,2496,32,100
32,1024,32,100
32,2432,32,100
32,2212,32,100
32,2968,32,100
32,1320,32,100
32,1948,32,100
32,2804,32,100
32,2816,32,100
32,408,32,100
32,2852,32,100
32,5040,32,100
32,1012,32,100
32,2120,32,100
32,1132,32,100
32,6268,32,100
32,3828,32,100
32,5008,32,100
32,328,32,100
32,688,32,100
32,460,32,100
32,2516,32,100
32,3444,32,100
32,532,32,100
32,1256,32,100
32,2596,32,100
32,604,32,100
32,2476,32,100
32,2532,32,100
32,2596,32,100
32,2340,32,100
32,2116,32,100
32,1104,32,100
32,2676,32,100
64,6656,0,0
64,14496,0,0
64,14876,0,0
64,14996,0,0
64,6452,0,0
64,15360,0,0
64,15328,0,0
64,15248,0,0
64,30336,0,0
64,25760,0,0
64,22132,0,0
64,30680,0,0
64,11256,0,0
64,33480,0,0
64,32068,0,0
64,30512,0,0
64,15148,0,0
64,29864,0,0
64,12260,0,0
64,15292,0,0
64,15384,0,0
64,25508,0,0
64,15036,0,0
64,30616,0,0
64,15028,0,0
64,13532,0,0
64,33888,0,0
64,25284,0,0
64,15212,0,0
64,21992,0,0
64,15152,0,0
64,25576,0,0
64,6780,0,0
64,29888,0,0
64,15116,0,0
64,12088,0,0
64,34332,0,0
64,12824,0,0
64,15792,0,0
64,14512,0,0
64,15344,0,0
64,24224,0,0
64,15148,0,0
64,32664,0,0
64,15656,0,0
64,15320,0,0
64,15028,0,0
64,6312,0,0
64,13776,0,0
64,14424,0,0
64,4908,0,0
64,11328,0,0
64,3076,0,0
64,15004,0,0
64,34292,0,0
64,24928,0,0
64,25744,0,0
64,25660,0,0
64,11308,0,0
64,15388,0,0
64,30640,0,0
64,34572,0,0
64,11512,0,0
64,25348,0,0
64,15560,0,0
64,25576,0,0
64,13540,0,0
64,25956,0,0
64,12856,0,0
64,15336,0,0
64,15404,0,0
64,25748,0,0
64,25752,0,0
64,24156,0,0
64,15100,0,0
64,25084,0,0
64,11328,0,0
64,24060,0,0
64,13524,0,0
64,11560,0,0
64,30060,0,0
64,25856,0,0
64,30204,0,0
64,15108,0,0
64,15204,0,0
64,6532,0,0
64,14256,0,0
64,6560,0,0
64,21440,0,0
64,30440,0,0
